driver_id,month,gross_income,platform_fee,other_costs,net_income,active_days,trips,completion_rate,cancellation_rate,avg_rating,peak_hour_share,weekend_share
drv_rajesh_001,2025-09,72262.9,13314.73,7002.71,57398.15,29,476,0.9311,0.0697,4.83,0.417,0.397
drv_rajesh_001,2025-10,74589.21,13513.61,6181.07,57791.24,29,502,0.9506,0.0165,4.84,0.477,0.256
drv_rajesh_001,2025-11,71147.26,11955.78,5788.4,56680.77,27,455,0.957,0.0344,4.84,0.41,0.38
drv_rajesh_001,2025-12,78507.73,14177.74,9180.01,62389.11,29,469,0.9564,0.0362,4.95,0.593,0.251
drv_rajesh_001,2026-01,74031.62,13781.59,7296.55,57353.75,29,502,0.9606,0.0532,4.83,0.397,0.441
drv_rajesh_001,2026-03,79610.29,13885.6,6899.41,64039.2,27,394,0.9692,0.0392,4.88,0.604,0.371
drv_rajesh_001,2026-03,84677.46,15835.32,9414.52,65882.68,25,426,0.9574,0.0258,4.92,0.642,0.326
drv_rajesh_001,2026-05,78503.12,13969.12,9174.46,61375.19,24,309,0.9758,0.0167,4.9,0.609,0.365
drv_rajesh_001,2026-05,79247.11,14788.18,7432.92,62867.28,26,530,0.9636,0.0463,4.9,0.437,0.266
drv_rajesh_001,2026-07,76688.03,13097.96,7565.07,61888.07,26,504,0.9818,0.0643,4.9,0.541,0.323
drv_rajesh_001,2026-07,74169.02,12956.23,7195.79,59293.78,26,367,0.9753,0.0262,4.74,0.631,0.38
drv_rajesh_001,2026-08,93679.85,17200.58,11817.29,74636.99,25,383,0.99,0.0169,4.95,0.399,0.326
drv_amit_002,2025-09,45640.52,8557.73,4958.67,34302.79,19,321,0.9085,0.0938,4.7,0.555,0.419
drv_amit_002,2025-10,51958.76,9638.49,4139.87,40362.17,19,260,0.8714,0.0592,4.7,0.445,0.304
drv_amit_002,2025-11,55783.33,9113.43,7363.03,43284.08,21,274,0.8672,0.0801,4.72,0.444,0.381
drv_amit_002,2025-12,54044.74,9138.0,5684.0,41577.64,23,282,0.877,0.0919,4.72,0.429,0.299
drv_amit_002,2026-01,47324.86,8412.69,5413.74,36886.69,21,332,0.8828,0.0912,4.67,0.619,0.33
drv_amit_002,2026-03,43015.77,6885.02,4593.87,32635.67,25,343,0.8758,0.0591,4.62,0.377,0.259
drv_amit_002,2026-03,46315.53,7425.2,5903.31,36135.44,25,308,0.9189,0.078,4.62,0.477,0.263
drv_amit_002,2026-05,47087.32,7834.47,5089.78,35760.61,19,223,0.8723,0.0514,4.76,0.641,0.422
drv_amit_002,2026-05,50134.11,7884.25,6074.6,39308.42,20,278,0.8733,0.0399,4.83,0.511,0.303
drv_amit_002,2026-07,50177.09,9125.99,5300.68,39328.0,20,192,0.8601,0.1048,4.76,0.486,0.441
drv_amit_002,2026-07,54605.3,10305.78,5920.17,42272.74,19,313,0.899,0.0898,4.7,0.404,0.433
drv_amit_002,2026-08,40768.56,7573.27,4699.46,31098.4,19,237,0.9029,0.0593,4.67,0.533,0.281
drv_suresh_003,2025-09,31784.89,5617.14,3828.26,23588.99,14,130,0.7198,0.2517,4.26,0.509,0.25
drv_suresh_003,2025-10,47038.2,8088.5,6521.74,37410.75,11,91,0.7445,0.233,4.35,0.614,0.416
drv_suresh_003,2025-11,36353.45,6155.82,4865.78,28581.78,14,125,0.7147,0.234,4.29,0.634,0.267
drv_suresh_003,2025-12,14559.05,2367.14,1697.51,10553.48,12,100,0.745,0.2458,4.39,0.58,0.276
drv_suresh_003,2026-01,34915.83,5908.99,3200.68,26407.23,14,114,0.7553,0.2373,4.32,0.612,0.335
drv_suresh_003,2026-03,58892.57,9796.18,7368.16,46517.8,11,119,0.7129,0.2422,4.39,0.41,0.312
drv_suresh_003,2026-03,12797.82,1998.06,1080.38,8000.0,13,122,0.745,0.2357,4.33,0.505,0.274
drv_suresh_003,2026-05,11866.05,1689.88,1176.52,8000.0,17,118,0.7487,0.2203,4.21,0.419,0.294
drv_suresh_003,2026-05,13387.27,1796.96,1044.5,8828.1,10,101,0.7279,0.2223,4.27,0.622,0.422
drv_suresh_003,2026-07,25771.75,4024.33,3035.27,19771.41,11,109,0.746,0.2214,4.36,0.414,0.276
drv_suresh_003,2026-07,25098.17,4444.76,2482.21,18011.32,13,65,0.7386,0.2348,4.39,0.585,0.411
drv_suresh_003,2026-08,11978.68,1781.6,1143.55,8503.22,17,154,0.7096,0.2173,4.39,0.477,0.343
