driver_id,avg_monthly_net_income,income_std,coefficient_of_variation,min_income,months_with_income,tenure_months,active_days_monthly,trips_per_day,trips_per_month,completion_rate,cancellation_rate,avg_rating,peak_hour_share,weekend_share,income_slope_3m,recent_vs_historical_income,estimated_disposable_income,requested_emi_to_income,target_default
syn_00001,71423.81,11700.09,0.1638,53873.67,12,46,23.1,14.4,332,0.9241,0.0533,4.89,0.373,0.276,0.0916,1.092,28999.35,0.0446,0
syn_00002,57319.33,9495.49,0.1657,43076.1,12,30,23.0,15.6,359,0.9456,0.0328,4.93,0.543,0.243,-0.0101,0.99,27600.24,0.1331,1
syn_00003,78900.23,15241.6,0.1932,56037.82,12,46,24.1,13.9,334,0.9679,0.032,4.78,0.508,0.337,0.049,1.049,32991.02,0.0419,0
syn_00004,72804.25,15400.27,0.2115,49703.84,12,47,28.3,18.4,519,0.9845,0.0144,4.8,0.631,0.289,-0.041,0.959,38023.08,0.0814,0
syn_00005,52509.58,10097.99,0.1923,37362.59,12,34,22.5,21.9,492,0.9741,0.0199,4.75,0.549,0.283,0.1131,1.113,23849.77,0.1783,0
syn_00006,58405.87,10638.33,0.1821,42448.37,12,27,26.5,21.0,555,0.9531,0.016,4.91,0.509,0.307,0.1022,1.102,26037.72,0.1379,0
syn_00007,49005.73,8286.75,0.1691,36575.62,12,21,24.2,17.6,425,0.9835,0.0225,4.84,0.623,0.358,0.1011,1.101,28648.95,0.1032,0
syn_00008,17425.41,11598.68,0.6656,6970.16,11,11,13.3,9.8,131,0.8023,0.2068,4.15,0.303,0.328,-0.2816,0.718,7604.4,0.3808,1
syn_00009,51835.69,6596.93,0.1273,41940.3,12,24,28.6,15.9,454,0.9563,0.0452,4.83,0.315,0.352,0.1444,1.144,28491.15,0.225,0
syn_00010,56916.69,11790.7,0.2072,39230.63,12,19,23.7,14.3,338,0.9543,0.0593,4.81,0.447,0.358,0.0844,1.084,31444.9,0.1731,0
syn_00011,29805.8,11536.65,0.3871,12500.83,12,16,18.2,10.1,184,0.8241,0.1132,4.67,0.455,0.434,-0.1462,0.854,16533.3,0.2373,1
syn_00012,51631.15,10814.51,0.2095,35409.38,12,28,28.1,15.3,431,0.9662,0.0509,4.88,0.66,0.358,0.0559,1.056,30017.29,0.1003,0
syn_00013,71230.58,14644.68,0.2056,49263.56,12,28,28.2,20.0,564,0.9649,0.0142,4.79,0.364,0.337,0.1297,1.13,42607.33,0.1187,1
syn_00014,32485.39,11773.87,0.3624,14824.58,12,18,17.7,11.0,193,0.8946,0.1185,4.71,0.406,0.261,0.0013,1.001,18882.62,0.2281,1
syn_00015,26596.61,15478.28,0.582,10638.64,7,7,15.4,8.0,123,0.7481,0.2434,4.18,0.682,0.429,-0.1333,0.867,15828.62,0.222,1
syn_00016,77706.19,10874.65,0.1399,61394.21,12,18,28.8,21.7,623,0.9797,0.0247,4.84,0.674,0.374,0.1202,1.12,43989.59,0.0753,0
syn_00017,40300.14,16845.89,0.418,16120.06,9,9,17.0,12.1,205,0.9077,0.1267,4.67,0.665,0.328,0.0116,1.012,21813.73,0.1528,1
syn_00018,68798.85,12265.14,0.1783,50401.14,12,41,27.6,21.0,579,0.9437,0.0288,4.77,0.415,0.348,0.0657,1.066,34872.79,0.0483,0
syn_00019,74323.22,9693.73,0.1304,59782.62,12,19,22.9,17.7,405,0.9739,0.0208,4.89,0.69,0.329,-0.0329,0.967,36695.53,0.0466,0
syn_00020,56666.63,8015.84,0.1415,44642.88,12,41,22.5,13.2,298,0.9874,0.0518,4.91,0.52,0.379,0.0318,1.032,32227.03,0.0805,0
syn_00021,47097.31,17312.0,0.3676,21129.31,12,12,19.9,12.7,251,0.862,0.0823,4.59,0.339,0.323,0.0243,1.024,27165.04,0.0868,1
syn_00022,61883.25,8403.17,0.1358,49278.5,12,23,26.3,18.7,492,0.9232,0.0287,4.89,0.328,0.361,0.0506,1.051,28977.53,0.173,0
syn_00023,78087.37,12538.21,0.1606,59280.06,12,35,24.7,18.8,464,0.9521,0.0373,4.97,0.428,0.411,0.0272,1.027,32713.13,0.1492,0
syn_00024,57019.35,5504.82,0.0965,48762.12,12,42,26.9,18.7,501,0.9814,0.0468,4.93,0.696,0.303,0.0064,1.006,25651.7,0.0806,0
syn_00025,58905.71,12388.23,0.2103,40323.37,12,41,28.0,16.9,472,0.9726,0.0477,4.77,0.304,0.426,0.1305,1.131,25606.81,0.1281,0
syn_00026,78401.98,16706.29,0.2131,53342.55,12,27,26.0,18.7,486,0.9514,0.0247,4.83,0.336,0.324,0.0845,1.085,34628.92,0.1246,0
syn_00027,62128.98,12691.62,0.2043,43091.55,12,34,24.5,14.1,343,0.93,0.0481,4.89,0.695,0.294,-0.0298,0.97,28567.29,0.0605,0
syn_00028,78311.95,17075.15,0.218,52699.23,12,42,27.3,16.4,446,0.9258,0.0489,4.88,0.305,0.317,0.0348,1.035,45245.55,0.1425,0
syn_00029,51760.84,8845.38,0.1709,38492.77,12,21,27.2,18.3,496,0.9874,0.0287,4.82,0.522,0.442,0.1237,1.124,21085.06,0.0968,0
syn_00030,70263.96,10092.42,0.1436,55125.33,12,36,26.4,18.3,481,0.9831,0.0123,4.81,0.411,0.247,0.1401,1.14,35755.13,0.1567,0
syn_00031,66677.0,6059.8,0.0909,57587.3,12,28,28.8,21.9,630,0.9689,0.0368,4.82,0.646,0.211,0.1128,1.113,37837.64,0.1374,0
syn_00032,73937.71,16134.59,0.2182,49735.83,12,29,23.1,18.3,422,0.9467,0.0585,4.94,0.323,0.416,0.1177,1.118,38228.46,0.0976,0
